Termen Ro;Traducere EN;
SENTINTA;sentence, decision;
ATRIBUŢII;powers, duties, tasks;
INSTRUCŢIUNI;instructions;
CERINTE;requirements;
ORDONANTA;ordinance;
LEGE;law;
AVIZ;notice, opinion;
STRATEGIE;strategy;
CIRCULARĂ;circular note;
REGULI;rules;
MOŢIUNE;motion;
ARANJAMENT;arrangement;
CONTRACT-C;contract-c;
CLSA;class;
CUANTUM;amount;
ACT;act;
NORMA;norm;
LISTĂ;list;
NOMENCL.;nomenclature;
DIRECTIVA;directive;
RAPORT;report;
TABLOU;table;
PROG.;program;
MODUL;module;
SOLUTIE;solution;
DECLARATIE;statement;
CAIET-S-C;;
NORMĂ;norm, convention;
MECANISME;mechanisms;
DOSAR;file;
PROGR.ANAL;anal. Prog;
HOTĂRÂRE;decision;
DISPOZITIE;provision;
SCHEMA;schema;
ANEXĂ;annex;
MANUAL;manual;
TRATAT;treaty;
ACORD;agreement;
HG;Government Decision;
COND+PROC;;
APEL;appeal (right to appeal);
CONT-CADRU;;
INCHEIERE;court order, judgement;
PROTOCOL;protocol;
INTELEGERE;agreement;
OPINIE;opinion;
TRANSE;tranche;
CONVENTIE;agreement;
PRECIZARI;indication;
COD;code;
REP.METODO;;
PRESCRIPTII;barring periods, limitations ;
CPV;;
STATUT;statut, status;
CRITERII;criterion;
PROPUNERE;motion, proposal;
REZOLUŢIE;resolution;
GHID;guide;
CERINŢE;requirements;
MINUTA;minutes;
AMENDAMENT;amendment;
MODALITATI;ways;
INDRUMAR;guidebook;
SINTEZA;summary, synthesis, overview;
REGISTRU;register;
CONTRACT;agreement, assigment;
METODĂ;method;
DISCURS;speech;
OG;Government (Emergincy)Ordinance;
COD.RG.AUD;;
PRECIZĂRI;specifications, indications;
M.DE;;
RASPUNS;answer, response;
REGISTRUL;register;
METODOLOGIE;methodology;
ADDENDUM;addendum;
SPECIF.;specifications, indications;
CALCULATOR;computer;
REG.;regulation;
CARTĂ;charter;
CODUL;code;
PROGRAM;program, programme, shedule;
ÎNŢELEGERE;agreement;
DECIZIE;decision;
CONDITII;requirements;
PROCLAMATIE;proclamation;
STANDARD;standard;
PROCEDURA;procedure, protocol;
METODA;method, technique;
ATRIBUTII;powers, duties, tasks;
COMPLETARE;addition;
COMUNICAT;communication, statement;
DECRET;decree;
REGULAMENT;regulation, rule book;
SENTINŢĂ;sentence;
ORD;;
PROIECT;project, science project;
MEMORANDUM;memorandum, memo;
REGLEMENTARI;regulation;
INITIATIVA;initiative;
PRESCRIPTI;barring terms, limitations;
ACTIUNE;act;
NOMEN.-CDRU;;
CONSTITUTIE;constitution;
CARTA;charter;
PLAN;plan;
PRINCIPII;principles;
SCHEMĂ;scheme, schedule;
DOCUMENT;document;
OUG;resolution;
CD.STUDENT;;
REZOLUTIE;resolution;
LISTA;list;
DECLARAŢIE;statement, declaration;
ÎNCHEIERE;conclusion;
CONVENŢIE;agreement;
REGLEMENTĂRI;regulation;
DECRET-LEGE;decree-law;
INSTRUCTIUNI;instructions, directions;
RECTIFICARE;correction;
MESAJ;message;
PR-LEGE;law project;
CIRCULARA;circular note, memo;
PROCEDURĂ;procedure, protocol;
CADRU;framework, frame of reference;
PROCES;process, trial;
SITUATIE;case, position;
NORMATIV;normative;
NORMĂTIV;normative;
STUDIU;study;
POZ.COMUNA;common position;
SISTEM;system;
ORDIN;order;
INSTR.;instructions;
INSTRUMENT;instrument;
PRESCRIPŢII;barring periods, limitations ;
